customer,distribution_method,date,planned_method,final_method,completed_at,last_box_date,weekday,hour,morning_afternoon,is_unenrolled,deviation_from_plan,deviation_from_current,deviation_summary
Customer 15,delivery,2022-08-19,delivery,delivery,2022-08-20 10:05:31-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 9,delivery,2022-08-19,delivery,delivery,2022-08-20 10:05:28-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 19,pickup,2022-08-19,pickup,pickup,2022-08-20 11:21:48-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 50,pickup,2022-08-19,pickup,pickup,2022-08-20 12:49:49-04:00,,Saturday,12,Morning,False,0,0,as planned
Customer 48,pickup,2022-08-19,pickup,pickup,2022-08-20 15:30:20-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 26,delivery,2022-08-19,delivery,delivery,2022-08-20 10:05:36-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 31,delivery,2022-08-19,delivery,delivery,2022-08-20 10:05:39-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 4,pickup,2022-08-19,pickup,pickup,2022-08-20 15:20:12-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 55,delivery,2022-08-19,delivery,delivery,2022-08-20 10:05:26-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 14,pickup,2022-08-19,pickup,pickup,2022-08-19 13:40:39-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 39,pickup,2022-08-19,pickup,pickup,2022-08-20 13:21:13-04:00,,Saturday,13,Afternoon,False,0,0,as planned
Customer 42,pickup,2022-08-19,pickup,pickup,2022-08-20 10:07:05-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 29,pickup,2022-08-19,pickup,pickup,2022-08-20 15:49:05-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 10,pickup,2022-08-19,pickup,pickup,2022-08-20 12:24:05-04:00,,Saturday,12,Morning,False,0,0,as planned
Customer 52,delivery,2022-08-19,delivery,delivery,2022-08-20 16:02:06-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 38,pickup,2022-08-19,pickup,pickup,2022-08-19 10:59:19-04:00,,Friday,10,Morning,False,0,0,as planned
Customer 44,pickup,2022-08-19,pickup,pickup,2022-08-20 16:15:39-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 21,delivery,2022-08-19,delivery,delivery,2022-08-20 10:05:34-04:00,,Saturday,10,Morning,False,0,0,as planned
Customer 18,pickup,2022-08-19,pickup,pickup,2022-08-20 16:26:36-04:00,,Saturday,16,Afternoon,False,0,0,as planned
Customer 3,pickup,2022-08-26,pickup,pickup,2022-08-27 14:53:34-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 6,pickup,2022-08-26,pickup,pickup,2022-08-27 15:43:43-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 53,pickup,2022-08-26,pickup,delivery,2022-08-27 19:03:39-04:00,,Saturday,19,Afternoon,False,1,1,delivery
Customer 40,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:46-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 11,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:42-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 51,pickup,2022-08-26,pickup,pickup,2022-08-27 15:14:31-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 27,pickup,2022-08-26,pickup,reallocate,2022-08-27 17:14:29-04:00,,Saturday,17,Afternoon,False,1,1,reallocate
Customer 2,delivery,2022-08-26,pickup,pickup,2022-08-26 13:47:23-04:00,,Friday,13,Afternoon,False,0,0,as planned
Customer 20,pickup,2022-08-26,pickup,pickup,2022-08-26 14:04:35-04:00,,Friday,14,Afternoon,False,0,0,as planned
Customer 8,pickup,2022-08-26,pickup,reallocate,2022-08-27 16:49:51-04:00,,Saturday,16,Afternoon,False,1,1,reallocate
Customer 23,pickup,2022-08-26,pickup,delivery,2022-08-27 19:08:58-04:00,,Saturday,19,Afternoon,False,1,1,delivery
Customer 0,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:39-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 43,pickup,2022-08-26,pickup,pickup,2022-08-27 18:47:41-04:00,,Saturday,18,Afternoon,False,0,0,as planned
Customer 16,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:43-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 35,pickup,2022-08-26,pickup,pickup,2022-08-27 18:36:13-04:00,,Saturday,18,Afternoon,False,0,0,as planned
Customer 32,pickup,2022-08-26,pickup,pickup,2022-08-27 17:14:31-04:00,,Saturday,17,Afternoon,False,0,0,as planned
Customer 49,pickup,2022-08-26,pickup,delivery,2022-08-27 19:58:37-04:00,,Saturday,19,Afternoon,False,1,1,delivery
Customer 7,pickup,2022-08-26,pickup,pickup,2022-08-27 14:46:17-04:00,,Saturday,14,Afternoon,False,0,0,as planned
Customer 41,pickup,2022-08-26,pickup,reallocate,2022-08-26 13:47:40-04:00,,Friday,13,Afternoon,False,1,1,reallocate
Customer 36,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:46-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 22,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:44-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 34,pickup,2022-08-26,pickup,pickup,2022-08-27 15:43:00-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 28,pickup,2022-08-26,pickup,pickup,2022-08-27 11:25:23-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 24,pickup,2022-08-26,pickup,pickup,2022-08-27 17:01:21-04:00,,Saturday,17,Afternoon,False,0,0,as planned
Customer 30,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:45-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 15,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:42-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 9,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:41-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 19,pickup,2022-08-26,pickup,pickup,2022-08-27 11:24:17-04:00,,Saturday,11,Morning,False,0,0,as planned
Customer 50,pickup,2022-08-26,pickup,pickup,2022-08-27 12:36:35-04:00,,Saturday,12,Morning,False,0,0,as planned
Customer 33,delivery,2022-08-26,delivery,reallocate,2022-08-26 13:47:39-04:00,,Friday,13,Afternoon,False,1,1,reallocate
Customer 48,pickup,2022-08-26,pickup,pickup,2022-08-27 15:43:45-04:00,,Saturday,15,Afternoon,False,0,0,as planned
Customer 26,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:44-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 31,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:46-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 4,pickup,2022-08-26,pickup,reallocate,2022-08-27 19:23:56-04:00,,Saturday,19,Afternoon,False,1,1,reallocate
Customer 55,delivery,2022-08-26,delivery,delivery,2022-08-26 22:22:41-04:00,,Friday,22,Afternoon,False,0,0,as planned
Customer 14,pickup,2022-08-26,pickup,reallocate,2022-08-26 13:47:38-04:00,,Friday,13,Afternoon,False,1,1,reallocate
