customer,distribution_method,date,planned_method,final_method,completed_at,last_box_date,datetime,weekday,hour,morning_afternoon,is_unenrolled,completed_days_after,deviation_from_plan,deviation_from_current,deviation_summary,no_show
Customer 44,pickup,2022-09-02,pickup,pickup,2022-09-03 13:33:11-04:00,,2022-09-02 00:00:00-04:00,Saturday,13,Afternoon,False,1.564710648148148,False,False,as planned,False
Customer 47,pickup,2022-09-02,pickup,pickup,2022-09-03 11:05:23-04:00,,2022-09-02 00:00:00-04:00,Saturday,11,Morning,False,1.4620717592592594,False,False,as planned,False
Customer 35,pickup,2022-09-02,pickup,pickup,2022-09-02 16:53:34-04:00,,2022-09-02 00:00:00-04:00,Friday,16,Afternoon,False,0.7038657407407407,False,False,as planned,False
Customer 18,pickup,2022-09-02,pickup,pickup,2022-09-03 14:20:34-04:00,,2022-09-02 00:00:00-04:00,Saturday,14,Afternoon,False,1.5976157407407408,False,False,as planned,False
Customer 6,delivery,2022-09-02,delivery,reallocate,2022-09-02 14:12:49-04:00,,2022-09-02 00:00:00-04:00,Friday,14,Afternoon,False,0.5922337962962962,True,True,reallocate,False
Customer 51,pickup,2022-09-02,pickup,pickup,2022-09-02 13:37:37-04:00,,2022-09-02 00:00:00-04:00,Friday,13,Afternoon,False,0.5677893518518519,False,False,as planned,False
Customer 43,pickup,2022-09-02,pickup,pickup,2022-09-02 14:24:07-04:00,,2022-09-02 00:00:00-04:00,Friday,14,Afternoon,False,0.6000810185185185,False,False,as planned,False
Customer 49,pickup,2022-09-02,pickup,pickup,2022-09-02 17:17:10-04:00,,2022-09-02 00:00:00-04:00,Friday,17,Afternoon,False,0.7202546296296296,False,False,as planned,False
Customer 42,pickup,2022-09-02,pickup,pickup,2022-09-03 09:30:09-04:00,,2022-09-02 00:00:00-04:00,Saturday,9,Morning,False,1.3959375,False,False,as planned,False
Customer 50,pickup,2022-09-02,pickup,reallocate,2022-09-03 19:42:37-04:00,,2022-09-02 00:00:00-04:00,Saturday,19,Afternoon,False,1.821261574074074,True,True,reallocate,False
Customer 28,delivery,2022-09-02,delivery,delivery,2022-09-02 13:13:36-04:00,,2022-09-02 00:00:00-04:00,Friday,13,Afternoon,False,0.5511111111111111,False,False,as planned,False
Customer 25,pickup,2022-09-02,pickup,pickup,2022-09-03 09:04:07-04:00,,2022-09-02 00:00:00-04:00,Saturday,9,Morning,False,1.3778587962962963,False,False,as planned,False
Customer 8,pickup,2022-09-02,pickup,reallocate,2022-09-03 19:42:38-04:00,,2022-09-02 00:00:00-04:00,Saturday,19,Afternoon,False,1.8212731481481481,True,True,reallocate,False
Customer 11,pickup,2022-09-09,pickup,pickup,2022-09-10 15:16:34-04:00,,2022-09-09 00:00:00-04:00,Saturday,15,Afternoon,False,1.6365046296296297,False,False,as planned,False
Customer 14,pickup,2022-09-09,pickup,pickup,2022-09-10 16:27:42-04:00,,2022-09-09 00:00:00-04:00,Saturday,16,Afternoon,False,1.6859027777777778,False,False,as planned,False
Customer 45,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:50-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7332175925925926,False,False,as planned,False
Customer 19,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:43-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7331365740740741,False,False,as planned,False
Customer 55,pickup,2022-09-09,pickup,pickup,2022-09-09 17:46:22-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7405324074074074,False,False,as planned,False
Customer 33,pickup,2022-09-09,pickup,pickup,2022-09-10 10:17:31-04:00,,2022-09-09 00:00:00-04:00,Saturday,10,Morning,False,1.4288310185185185,False,False,as planned,False
Customer 10,delivery,2022-09-09,pickup,delivery,2022-09-09 17:35:41-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7331134259259259,True,False,as planned,False
Customer 27,pickup,2022-09-09,pickup,pickup,2022-09-09 09:24:02-04:00,,2022-09-09 00:00:00-04:00,Friday,9,Morning,False,0.3916898148148148,False,False,as planned,False
Customer 16,pickup,2022-09-09,pickup,pickup,2022-09-10 12:17:14-04:00,,2022-09-09 00:00:00-04:00,Saturday,12,Morning,False,1.5119675925925926,False,False,as planned,False
Customer 3,pickup,2022-09-09,pickup,pickup,2022-09-10 14:28:39-04:00,,2022-09-09 00:00:00-04:00,Saturday,14,Afternoon,False,1.6032291666666667,False,False,as planned,False
Customer 0,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:38-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7330787037037036,False,False,as planned,False
Customer 48,pickup,2022-09-09,pickup,reallocate,2022-09-09 17:54:56-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7464814814814815,True,True,reallocate,False
Customer 23,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:45-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7331597222222223,False,False,as planned,False
Customer 38,pickup,2022-09-09,pickup,pickup,2022-09-10 16:24:43-04:00,,2022-09-09 00:00:00-04:00,Saturday,16,Afternoon,False,1.6838310185185186,False,False,as planned,False
Customer 53,pickup,2022-09-09,pickup,pickup,2022-09-10 18:02:25-04:00,,2022-09-09 00:00:00-04:00,Saturday,18,Afternoon,False,1.7516782407407407,False,False,as planned,False
Customer 15,pickup,2022-09-09,pickup,pickup,2022-09-10 15:35:03-04:00,,2022-09-09 00:00:00-04:00,Saturday,15,Afternoon,False,1.6493402777777777,False,False,as planned,False
Customer 46,pickup,2022-09-09,pickup,pickup,2022-09-10 16:27:48-04:00,,2022-09-09 00:00:00-04:00,Saturday,16,Afternoon,False,1.6859722222222222,False,False,as planned,False
Customer 41,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:50-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7332175925925926,False,False,as planned,False
Customer 29,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:47-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7331828703703703,False,False,as planned,False
Customer 34,pickup,2022-09-09,pickup,pickup,2022-09-10 12:53:06-04:00,,2022-09-09 00:00:00-04:00,Saturday,12,Morning,False,1.536875,False,False,as planned,False
Customer 30,pickup,2022-09-09,pickup,pickup,2022-09-10 16:56:27-04:00,,2022-09-09 00:00:00-04:00,Saturday,16,Afternoon,False,1.7058680555555557,False,False,as planned,False
Customer 36,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:48-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7331944444444445,False,False,as planned,False
Customer 22,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:44-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7331481481481481,False,False,as planned,False
Customer 26,pickup,2022-09-09,pickup,pickup,2022-09-10 16:58:33-04:00,,2022-09-09 00:00:00-04:00,Saturday,16,Afternoon,False,1.707326388888889,False,False,as planned,False
Customer 54,pickup,2022-09-09,pickup,pickup,2022-09-09 16:34:19-04:00,,2022-09-09 00:00:00-04:00,Friday,16,Afternoon,False,0.6904976851851852,False,False,as planned,False
Customer 39,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:49-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7332060185185185,False,False,as planned,False
Customer 52,pickup,2022-09-09,pickup,pickup,2022-09-10 17:24:32-04:00,,2022-09-09 00:00:00-04:00,Saturday,17,Afternoon,False,1.7253703703703704,False,False,as planned,False
Customer 32,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:48-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7331944444444445,False,False,as planned,False
Customer 37,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:49-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7332060185185185,False,False,as planned,False
Customer 9,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:40-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7331018518518518,False,False,as planned,False
Customer 21,pickup,2022-09-09,pickup,pickup,2022-09-09 13:22:10-04:00,,2022-09-09 00:00:00-04:00,Friday,13,Afternoon,False,0.5570601851851852,False,False,as planned,False
Customer 2,pickup,2022-09-09,pickup,pickup,2022-09-10 13:26:01-04:00,,2022-09-09 00:00:00-04:00,Saturday,13,Afternoon,False,1.5597337962962963,False,False,as planned,False
Customer 44,pickup,2022-09-09,pickup,pickup,2022-09-10 15:35:09-04:00,,2022-09-09 00:00:00-04:00,Saturday,15,Afternoon,False,1.6494097222222222,False,False,as planned,False
Customer 47,pickup,2022-09-09,pickup,pickup,2022-09-10 12:17:17-04:00,,2022-09-09 00:00:00-04:00,Saturday,12,Morning,False,1.5120023148148147,False,False,as planned,False
Customer 35,pickup,2022-09-09,pickup,pickup,2022-09-10 16:06:10-04:00,,2022-09-09 00:00:00-04:00,Saturday,16,Afternoon,False,1.670949074074074,False,False,as planned,False
Customer 18,pickup,2022-09-09,pickup,pickup,2022-09-10 09:39:05-04:00,,2022-09-09 00:00:00-04:00,Saturday,9,Morning,False,1.4021412037037038,False,False,as planned,False
Customer 6,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:39-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7330902777777778,False,False,as planned,False
Customer 51,pickup,2022-09-09,pickup,pickup,2022-09-09 11:52:23-04:00,,2022-09-09 00:00:00-04:00,Friday,11,Morning,False,0.49471064814814814,False,False,as planned,False
Customer 43,pickup,2022-09-09,pickup,reallocate,2022-09-10 16:30:34-04:00,,2022-09-09 00:00:00-04:00,Saturday,16,Afternoon,False,1.6878935185185184,True,True,reallocate,False
Customer 49,pickup,2022-09-09,pickup,pickup,2022-09-09 17:28:29-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7281134259259259,False,False,as planned,False
Customer 42,pickup,2022-09-09,pickup,pickup,2022-09-10 10:41:54-04:00,,2022-09-09 00:00:00-04:00,Saturday,10,Morning,False,1.4457638888888888,False,False,as planned,False
Customer 50,pickup,2022-09-09,pickup,pickup,2022-09-10 15:24:45-04:00,,2022-09-09 00:00:00-04:00,Saturday,15,Afternoon,False,1.6421875,False,False,as planned,False
Customer 28,delivery,2022-09-09,delivery,delivery,2022-09-09 17:35:46-04:00,,2022-09-09 00:00:00-04:00,Friday,17,Afternoon,False,0.7331712962962963,False,False,as planned,False
Customer 25,pickup,2022-09-09,pickup,pickup,2022-09-09 15:50:40-04:00,,2022-09-09 00:00:00-04:00,Friday,15,Afternoon,False,0.6601851851851852,False,False,as planned,False
Customer 8,pickup,2022-09-09,pickup,pickup,2022-09-10 13:17:35-04:00,,2022-09-09 00:00:00-04:00,Saturday,13,Afternoon,False,1.5538773148148148,False,False,as planned,False
Customer 11,pickup,2022-09-16,pickup,pickup,2022-09-16 17:16:08-04:00,,2022-09-16 00:00:00-04:00,Friday,17,Afternoon,False,0.7195370370370371,False,False,as planned,False
Customer 14,pickup,2022-09-16,pickup,pickup,2022-09-17 12:49:20-04:00,,2022-09-16 00:00:00-04:00,Saturday,12,Morning,False,1.5342592592592592,False,False,as planned,False
Customer 7,pickup,2022-09-16,pickup,pickup,2022-09-17 13:54:19-04:00,,2022-09-16 00:00:00-04:00,Saturday,13,Afternoon,False,1.579386574074074,False,False,as planned,False
Customer 45,delivery,2022-09-16,delivery,delivery,2022-09-16 19:05:41-04:00,,2022-09-16 00:00:00-04:00,Friday,19,Afternoon,False,0.7956134259259259,False,False,as planned,False
Customer 19,delivery,2022-09-16,delivery,delivery,2022-09-16 19:27:08-04:00,,2022-09-16 00:00:00-04:00,Friday,19,Afternoon,False,0.8105092592592592,False,False,as planned,False
Customer 55,pickup,2022-09-16,pickup,reallocate,2022-09-16 10:00:55-04:00,,2022-09-16 00:00:00-04:00,Friday,10,Morning,False,0.41730324074074077,True,True,reallocate,False
Customer 33,pickup,2022-09-16,pickup,pickup,2022-09-17 09:16:21-04:00,,2022-09-16 00:00:00-04:00,Saturday,9,Morning,False,1.3863541666666668,False,False,as planned,False
Customer 10,delivery,2022-09-16,delivery,delivery,2022-09-16 19:09:28-04:00,,2022-09-16 00:00:00-04:00,Friday,19,Afternoon,False,0.7982407407407407,False,False,as planned,False
Customer 27,pickup,2022-09-16,pickup,pickup,2022-09-16 10:58:54-04:00,,2022-09-16 00:00:00-04:00,Friday,10,Morning,False,0.4575694444444444,False,False,as planned,False
Customer 16,pickup,2022-09-16,pickup,pickup,2022-09-17 12:00:38-04:00,,2022-09-16 00:00:00-04:00,Saturday,12,Morning,False,1.5004398148148148,False,False,as planned,False
Customer 3,pickup,2022-09-16,pickup,pickup,2022-09-16 17:21:35-04:00,,2022-09-16 00:00:00-04:00,Friday,17,Afternoon,False,0.7233217592592592,False,False,as planned,False
Customer 0,delivery,2022-09-16,delivery,delivery,2022-09-16 18:30:33-04:00,,2022-09-16 00:00:00-04:00,Friday,18,Afternoon,False,0.7712152777777778,False,False,as planned,False
Customer 48,pickup,2022-09-16,pickup,pickup,2022-09-17 15:46:47-04:00,,2022-09-16 00:00:00-04:00,Saturday,15,Afternoon,False,1.657488425925926,False,False,as planned,False
Customer 23,delivery,2022-09-16,delivery,delivery,2022-09-16 18:32:54-04:00,,2022-09-16 00:00:00-04:00,Friday,18,Afternoon,False,0.7728472222222222,False,False,as planned,False
Customer 38,pickup,2022-09-16,pickup,pickup,2022-09-17 13:32:30-04:00,,2022-09-16 00:00:00-04:00,Saturday,13,Afternoon,False,1.5642361111111112,False,False,as planned,False
Customer 53,pickup,2022-09-16,pickup,pickup,2022-09-17 18:06:13-04:00,,2022-09-16 00:00:00-04:00,Saturday,18,Afternoon,False,1.7543171296296296,False,False,as planned,False
Customer 15,pickup,2022-09-16,pickup,pickup,2022-09-17 10:07:36-04:00,,2022-09-16 00:00:00-04:00,Saturday,10,Morning,False,1.4219444444444445,False,False,as planned,False
Customer 46,pickup,2022-09-16,pickup,pickup,2022-09-16 11:10:21-04:00,,2022-09-16 00:00:00-04:00,Friday,11,Morning,False,0.46552083333333333,False,False,as planned,False
Customer 41,delivery,2022-09-16,delivery,delivery,2022-09-16 19:29:42-04:00,,2022-09-16 00:00:00-04:00,Friday,19,Afternoon,False,0.8122916666666666,False,False,as planned,False
Customer 29,delivery,2022-09-16,delivery,delivery,2022-09-17 18:42:27-04:00,,2022-09-16 00:00:00-04:00,Saturday,18,Afternoon,False,1.7794791666666667,False,False,as planned,False
Customer 34,pickup,2022-09-16,pickup,pickup,2022-09-17 13:38:22-04:00,,2022-09-16 00:00:00-04:00,Saturday,13,Afternoon,False,1.5683101851851853,False,False,as planned,False
Customer 30,pickup,2022-09-16,pickup,pickup,2022-09-17 16:58:29-04:00,,2022-09-16 00:00:00-04:00,Saturday,16,Afternoon,False,1.7072800925925926,False,False,as planned,False
Customer 36,delivery,2022-09-16,delivery,delivery,2022-09-16 18:32:59-04:00,,2022-09-16 00:00:00-04:00,Friday,18,Afternoon,False,0.7729050925925925,False,False,as planned,False
Customer 22,delivery,2022-09-16,delivery,delivery,2022-09-16 19:27:04-04:00,,2022-09-16 00:00:00-04:00,Friday,19,Afternoon,False,0.8104629629629629,False,False,as planned,False
Customer 17,delivery,2022-09-16,delivery,delivery,2022-09-16 19:30:42-04:00,,2022-09-16 00:00:00-04:00,Friday,19,Afternoon,False,0.8129861111111111,False,False,as planned,False
Customer 26,pickup,2022-09-16,pickup,pickup,2022-09-17 09:54:52-04:00,,2022-09-16 00:00:00-04:00,Saturday,9,Morning,False,1.4131018518518519,False,False,as planned,False
Customer 54,pickup,2022-09-16,pickup,pickup,2022-09-17 12:33:59-04:00,,2022-09-16 00:00:00-04:00,Saturday,12,Morning,False,1.523599537037037,False,False,as planned,False
Customer 39,delivery,2022-09-16,delivery,delivery,2022-09-16 18:41:51-04:00,,2022-09-16 00:00:00-04:00,Friday,18,Afternoon,False,0.7790625,False,False,as planned,False
Customer 52,pickup,2022-09-16,pickup,pickup,2022-09-17 12:49:18-04:00,,2022-09-16 00:00:00-04:00,Saturday,12,Morning,False,1.5342361111111111,False,False,as planned,False
Customer 32,delivery,2022-09-16,delivery,delivery,2022-09-16 18:52:29-04:00,,2022-09-16 00:00:00-04:00,Friday,18,Afternoon,False,0.7864467592592592,False,False,as planned,False
Customer 37,delivery,2022-09-16,delivery,delivery,2022-09-16 19:23:41-04:00,,2022-09-16 00:00:00-04:00,Friday,19,Afternoon,False,0.8081134259259259,False,False,as planned,False
Customer 12,pickup,2022-09-16,pickup,reallocate,2022-09-19 14:14:53-04:00,,2022-09-16 00:00:00-04:00,Monday,14,Afternoon,False,3.5936689814814815,True,True,reallocate,False
Customer 9,delivery,2022-09-16,delivery,delivery,2022-09-16 18:43:55-04:00,,2022-09-16 00:00:00-04:00,Friday,18,Afternoon,False,0.7804976851851851,False,False,as planned,False
Customer 21,pickup,2022-09-16,pickup,pickup,2022-09-16 16:28:10-04:00,,2022-09-16 00:00:00-04:00,Friday,16,Afternoon,False,0.6862268518518518,False,False,as planned,False
Customer 2,pickup,2022-09-16,pickup,pickup,2022-09-16 17:45:41-04:00,,2022-09-16 00:00:00-04:00,Friday,17,Afternoon,False,0.7400578703703704,False,False,as planned,False
Customer 44,pickup,2022-09-16,pickup,pickup,2022-09-17 10:04:40-04:00,,2022-09-16 00:00:00-04:00,Saturday,10,Morning,False,1.4199074074074074,False,False,as planned,False
Customer 47,pickup,2022-09-16,pickup,pickup,2022-09-16 14:10:04-04:00,,2022-09-16 00:00:00-04:00,Friday,14,Afternoon,False,0.5903240740740741,False,False,as planned,False
Customer 35,pickup,2022-09-16,pickup,pickup,2022-09-17 15:46:49-04:00,,2022-09-16 00:00:00-04:00,Saturday,15,Afternoon,False,1.657511574074074,False,False,as planned,False
Customer 18,pickup,2022-09-16,pickup,pickup,2022-09-17 10:00:12-04:00,,2022-09-16 00:00:00-04:00,Saturday,10,Morning,False,1.4168055555555557,False,False,as planned,False
Customer 6,delivery,2022-09-16,delivery,reallocate,2022-09-16 10:00:54-04:00,,2022-09-16 00:00:00-04:00,Friday,10,Morning,False,0.41729166666666667,True,True,reallocate,False
Customer 51,pickup,2022-09-16,pickup,pickup,2022-09-16 16:39:49-04:00,,2022-09-16 00:00:00-04:00,Friday,16,Afternoon,False,0.6943171296296297,False,False,as planned,False
Customer 43,pickup,2022-09-16,pickup,pickup,2022-09-16 13:12:52-04:00,,2022-09-16 00:00:00-04:00,Friday,13,Afternoon,False,0.5506018518518518,False,False,as planned,False
Customer 49,pickup,2022-09-16,pickup,pickup,2022-09-16 17:44:03-04:00,,2022-09-16 00:00:00-04:00,Friday,17,Afternoon,False,0.7389236111111112,False,False,as planned,False
Customer 42,pickup,2022-09-16,pickup,pickup,2022-09-17 10:42:40-04:00,,2022-09-16 00:00:00-04:00,Saturday,10,Morning,False,1.4462962962962962,False,False,as planned,False
Customer 50,pickup,2022-09-16,pickup,pickup,2022-09-17 13:04:54-04:00,,2022-09-16 00:00:00-04:00,Saturday,13,Afternoon,False,1.5450694444444444,False,False,as planned,False
Customer 28,delivery,2022-09-16,delivery,delivery,2022-09-16 18:52:29-04:00,,2022-09-16 00:00:00-04:00,Friday,18,Afternoon,False,0.7864467592592592,False,False,as planned,False
Customer 25,pickup,2022-09-16,pickup,pickup,2022-09-17 10:32:37-04:00,,2022-09-16 00:00:00-04:00,Saturday,10,Morning,False,1.4393171296296297,False,False,as planned,False
Customer 8,pickup,2022-09-16,pickup,reallocate,2022-09-19 14:14:50-04:00,,2022-09-16 00:00:00-04:00,Monday,14,Afternoon,False,3.593634259259259,True,True,reallocate,False
Customer 11,pickup,2022-09-23,pickup,pickup,2022-09-24 12:59:00-04:00,,2022-09-23 00:00:00-04:00,Saturday,12,Morning,False,1.5409722222222222,False,False,as planned,False
Customer 14,pickup,2022-09-23,pickup,pickup,2022-09-24 13:22:34-04:00,,2022-09-23 00:00:00-04:00,Saturday,13,Afternoon,False,1.557337962962963,False,False,as planned,False
Customer 7,pickup,2022-09-23,pickup,reallocate,2022-09-24 14:01:14-04:00,,2022-09-23 00:00:00-04:00,Saturday,14,Afternoon,False,1.5841898148148148,True,True,reallocate,False
Customer 45,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:40-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6032407407407407,False,False,as planned,False
Customer 19,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:28-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6031018518518518,False,False,as planned,False
Customer 55,pickup,2022-09-23,pickup,pickup,2022-09-24 11:57:36-04:00,,2022-09-23 00:00:00-04:00,Saturday,11,Morning,False,1.4983333333333333,False,False,as planned,False
Customer 33,pickup,2022-09-23,pickup,pickup,2022-09-24 10:33:00-04:00,,2022-09-23 00:00:00-04:00,Saturday,10,Morning,False,1.4395833333333334,False,False,as planned,False
Customer 10,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:25-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6030671296296296,False,False,as planned,False
Customer 27,pickup,2022-09-23,pickup,pickup,2022-09-23 11:18:34-04:00,,2022-09-23 00:00:00-04:00,Friday,11,Morning,False,0.47122685185185187,False,False,as planned,False
Customer 16,pickup,2022-09-23,pickup,pickup,2022-09-24 11:11:27-04:00,,2022-09-23 00:00:00-04:00,Saturday,11,Morning,False,1.4662847222222222,False,False,as planned,False
Customer 3,pickup,2022-09-23,pickup,pickup,2022-09-24 15:57:11-04:00,,2022-09-23 00:00:00-04:00,Saturday,15,Afternoon,False,1.6647106481481482,False,False,as planned,False
Customer 0,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:22-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6030324074074074,False,False,as planned,False
Customer 48,pickup,2022-09-23,pickup,pickup,2022-09-24 18:02:15-04:00,,2022-09-23 00:00:00-04:00,Saturday,18,Afternoon,False,1.7515625,False,False,as planned,False
Customer 23,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:29-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6031134259259259,False,False,as planned,False
Customer 40,pickup,2022-09-23,pickup,delivery,2022-09-24 17:38:40-04:00,,2022-09-23 00:00:00-04:00,Saturday,17,Afternoon,False,1.7351851851851852,True,True,delivery,False
Customer 38,pickup,2022-09-23,pickup,delivery,2022-09-24 18:09:24-04:00,,2022-09-23 00:00:00-04:00,Saturday,18,Afternoon,False,1.7565277777777777,True,True,delivery,False
Customer 53,pickup,2022-09-23,pickup,pickup,2022-09-24 17:27:13-04:00,,2022-09-23 00:00:00-04:00,Saturday,17,Afternoon,False,1.7272337962962963,False,False,as planned,False
Customer 15,pickup,2022-09-23,pickup,pickup,2022-09-24 16:19:55-04:00,,2022-09-23 00:00:00-04:00,Saturday,16,Afternoon,False,1.6804976851851852,False,False,as planned,False
Customer 46,pickup,2022-09-23,pickup,pickup,2022-09-23 10:34:30-04:00,,2022-09-23 00:00:00-04:00,Friday,10,Morning,False,0.440625,False,False,as planned,False
Customer 41,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:39-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6032291666666667,False,False,as planned,False
Customer 29,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:34-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6031712962962963,False,False,as planned,False
Customer 4,pickup,2022-09-23,pickup,delivery,2022-09-24 18:14:55-04:00,,2022-09-23 00:00:00-04:00,Saturday,18,Afternoon,False,1.7603587962962963,True,True,delivery,False
Customer 34,pickup,2022-09-23,pickup,pickup,2022-09-24 12:11:17-04:00,,2022-09-23 00:00:00-04:00,Saturday,12,Morning,False,1.507835648148148,False,False,as planned,False
Customer 30,pickup,2022-09-23,pickup,reallocate,2022-09-25 12:48:22-04:00,,2022-09-23 00:00:00-04:00,Sunday,12,Morning,False,2.533587962962963,True,True,reallocate,False
Customer 36,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:37-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6032060185185185,False,False,as planned,False
Customer 22,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:29-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6031134259259259,False,False,as planned,False
Customer 17,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:27-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6030902777777778,False,False,as planned,False
Customer 26,pickup,2022-09-23,pickup,pickup,2022-09-23 13:39:03-04:00,,2022-09-23 00:00:00-04:00,Friday,13,Afternoon,False,0.5687847222222222,False,False,as planned,False
Customer 54,pickup,2022-09-23,pickup,pickup,2022-09-24 12:34:19-04:00,,2022-09-23 00:00:00-04:00,Saturday,12,Morning,False,1.5238310185185184,False,False,as planned,False
Customer 39,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:38-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6032175925925926,False,False,as planned,False
Customer 52,pickup,2022-09-23,pickup,pickup,2022-09-24 15:26:11-04:00,,2022-09-23 00:00:00-04:00,Saturday,15,Afternoon,False,1.6431828703703704,False,False,as planned,False
Customer 32,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:37-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6032060185185185,False,False,as planned,False
Customer 37,delivery,2022-09-23,delivery,delivery,2022-09-24 20:01:53-04:00,,2022-09-23 00:00:00-04:00,Saturday,20,Afternoon,False,1.8346412037037036,False,False,as planned,False
Customer 12,pickup,2022-09-23,pickup,reallocate,2022-09-24 14:39:16-04:00,,2022-09-23 00:00:00-04:00,Saturday,14,Afternoon,False,1.610601851851852,True,True,reallocate,False
Customer 9,delivery,2022-09-23,delivery,delivery,2022-09-23 14:28:26-04:00,,2022-09-23 00:00:00-04:00,Friday,14,Afternoon,False,0.6030787037037038,False,False,as planned,False
Customer 21,pickup,2022-09-23,pickup,reallocate,2022-09-24 12:40:57-04:00,,2022-09-23 00:00:00-04:00,Saturday,12,Morning,False,1.5284375,True,True,reallocate,False
Customer 2,pickup,2022-09-23,pickup,pickup,2022-09-24 16:52:46-04:00,,2022-09-23 00:00:00-04:00,Saturday,16,Afternoon,False,1.7033101851851853,False,False,as planned,False
Customer 44,pickup,2022-09-23,pickup,pickup,2022-09-24 16:19:47-04:00,,2022-09-23 00:00:00-04:00,Saturday,16,Afternoon,False,1.6804050925925926,False,False,as planned,False
Customer 47,pickup,2022-09-23,pickup,pickup,2022-09-24 10:51:28-04:00,,2022-09-23 00:00:00-04:00,Saturday,10,Morning,False,1.4524074074074074,False,False,as planned,False
Customer 35,pickup,2022-09-23,pickup,pickup,2022-09-24 16:57:51-04:00,,2022-09-23 00:00:00-04:00,Saturday,16,Afternoon,False,1.7068402777777778,False,False,as planned,False
Customer 18,pickup,2022-09-23,pickup,pickup,2022-09-24 15:25:16-04:00,,2022-09-23 00:00:00-04:00,Saturday,15,Afternoon,False,1.6425462962962962,False,False,as planned,False
Customer 51,pickup,2022-09-23,pickup,reallocate,2022-09-25 12:48:23-04:00,,2022-09-23 00:00:00-04:00,Sunday,12,Morning,False,2.533599537037037,True,True,reallocate,False
Customer 43,pickup,2022-09-23,pickup,pickup,2022-09-24 09:56:11-04:00,,2022-09-23 00:00:00-04:00,Saturday,9,Morning,False,1.4140162037037036,False,False,as planned,False
